Test Hour,Predicted Price,No Twitter Predicted Price,Actual Price
111,740.3044872451231,740.2308148106309,721.9199829101562
112,779.6651869747569,780.4645124071029,743.6799926757812
113,783.7695353017581,783.9970120176309,772.0
114,767.1660723425503,766.5336202797963,782.760009765625
115,767.0120361041247,767.0563862539578,767.1832885742188
116,733.7866787162992,733.2073054783442,765.3822021484375
117,741.747062112873,741.3980787774736,730.8543701171875
118,748.4878168868844,748.5074113302707,745.311279296875
119,746.9574247887316,747.3236228349161,745.5050048828125
120,749.5957962603868,748.9967694846555,741.7039794921875
121,736.2662878356389,736.3302733307668,744.4030151367188
122,743.6625420568158,744.8568414782086,730.409423828125
123,741.1118033857985,740.9732390789785,750.2650146484375
124,735.164917543551,735.3673625198129,740.2050170898438
125,746.8638105050127,746.718700763975,732.510009765625
126,730.3508724472949,730.7344511829981,749.5
127,739.0531117166126,738.9316046494159,728.25927734375
128,737.5698293932344,737.3988214981853,738.6351928710938
129,729.7032279506865,729.5522306530802,735.0
130,732.519686871947,732.4227046515391,728.4758911132812
131,729.6730206826637,729.9788901146198,730.7097778320312
132,725.2633847255981,725.796264125671,727.6749877929688
133,695.8750414839246,696.4925897556965,723.6199951171875
134,704.6674411194268,706.0615241187803,689.9819946289062
135,695.1581627495484,695.1330239331614,702.2692260742188
136,693.1165606480273,693.2694467579455,691.7640991210938
137,691.7436204233509,693.4654936823148,690.489990234375
138,693.6280331651644,693.3192007202784,688.6799926757812
