Test Hour,Predicted Price,No Twitter Predicted Price,Actual Price
111,735.2151112788762,734.9311267152234,721.9199829101562
112,761.6070693138819,765.496342946476,743.6799926757812
113,784.2331877473208,784.9183557422721,772.0
114,766.5658714936945,766.9484537835442,782.760009765625
115,767.7852303919136,768.2754623312567,767.1832885742188
116,735.2516310699331,735.3897590770948,765.3822021484375
117,734.3158682015502,734.7557066011132,730.8543701171875
118,749.0967732927057,749.672359298479,745.311279296875
119,742.9721015656206,744.5392279122834,745.5050048828125
120,749.382810801556,748.1262054629087,741.7039794921875
121,733.0859346188928,733.7234266360983,744.4030151367188
122,739.1682135985812,733.1487131364602,730.409423828125
123,742.2709981336467,742.7423373439697,750.2650146484375
124,736.3617825993089,737.2368319550287,740.2050170898438
125,743.2299016709995,743.3261116899203,732.510009765625
126,732.0334713775675,732.981707030237,749.5
127,739.9779968059639,740.4336664730718,728.25927734375
128,738.9592054450724,739.3974587173425,738.6351928710938
129,731.2058979839604,731.7408651910982,735.0
130,734.1556034524511,734.6994283863178,728.4758911132812
131,731.4667151107898,732.3037166558634,730.7097778320312
132,727.4327618332683,728.3077669804852,727.6749877929688
133,693.6737258776903,696.0305975008841,723.6199951171875
134,706.7991895856068,708.8530457192965,689.9819946289062
135,698.0148254763864,698.814673207914,702.2692260742188
136,696.4711724376303,697.18982846368,691.7640991210938
137,693.2317903437926,696.1341946151579,690.489990234375
138,696.4469939470465,697.2367171956857,688.6799926757812
