Datetime,Open,High,Low,Close,Adj Close,Volume
2020-02-03 09:30:00-05:00,673.6900024414062,699.280029296875,673.52001953125,695.2969970703125,695.2969970703125,4458571
2020-02-03 09:45:00-05:00,695.6300048828125,719.5,695.6300048828125,713.1005859375,713.1005859375,3075851
2020-02-03 10:00:00-05:00,713.6300048828125,735.1799926757812,705.2000122070312,709.3699951171875,709.3699951171875,3965928
2020-02-03 10:15:00-05:00,709.7899780273438,717.9500122070312,703.0,715.6199951171875,715.6199951171875,1976411
2020-02-03 10:30:00-05:00,715.6300048828125,726.9349975585938,714.0,719.8292846679688,719.8292846679688,1624836
2020-02-03 10:45:00-05:00,719.489990234375,724.260009765625,715.5499877929688,722.6699829101562,722.6699829101562,1086863
2020-02-03 11:00:00-05:00,722.3099975585938,729.489990234375,721.89501953125,723.4656982421875,723.4656982421875,1232286
2020-02-03 11:15:00-05:00,723.4636840820312,732.8900146484375,723.1599731445312,729.4099731445312,729.4099731445312,1200492
2020-02-03 11:30:00-05:00,729.4600219726562,731.7650146484375,721.110107421875,723.610595703125,723.610595703125,902063
2020-02-03 11:45:00-05:00,723.4158935546875,728.8800048828125,722.6199951171875,726.948974609375,726.948974609375,645618
2020-02-03 12:00:00-05:00,727.0250854492188,736.719970703125,726.9500122070312,731.6699829101562,731.6699829101562,1241880
2020-02-03 12:15:00-05:00,731.6300048828125,738.9000244140625,730.67822265625,736.1724853515625,736.1724853515625,1064352
2020-02-03 12:30:00-05:00,736.5,748.3900146484375,734.4500122070312,748.0509033203125,748.0509033203125,1560855
2020-02-03 12:45:00-05:00,748.1649780273438,769.0,744.2534790039062,767.793701171875,767.793701171875,2438446
2020-02-03 13:00:00-05:00,765.1900024414062,786.1400146484375,743.0,752.25,752.25,4116838
2020-02-03 13:15:00-05:00,753.46630859375,763.239990234375,746.4840087890625,748.7313232421875,748.7313232421875,1690059
2020-02-03 13:30:00-05:00,748.9199829101562,756.7899169921875,742.0,745.1444091796875,745.1444091796875,1451901
2020-02-03 13:45:00-05:00,745.22607421875,749.7899780273438,735.2000122070312,746.3300170898438,746.3300170898438,1449148
2020-02-03 14:00:00-05:00,746.97998046875,759.534912109375,745.844970703125,758.5900268554688,758.5900268554688,1344688
2020-02-03 14:15:00-05:00,758.5900268554688,765.9000244140625,751.8499755859375,753.9650268554688,753.9650268554688,1328071
2020-02-03 14:30:00-05:00,753.6599731445312,763.0,752.6500244140625,760.6688842773438,760.6688842773438,936253
